Link+AF8-ID,Time,Moving+AF8-Average+AF8-throughput,Instantaneous+AF8-throughput,Time+AF8-average+AF8-throughput
3,137706002.8,0.584689573,0.63232,0.580943662
3,137711001.1,0.58470768,0.6936,0.580943662
3,137711001.6,0.584748517,0.80608,0.580943662
3,137721000.3,0.584718611,0.84064,0.580943662
3,137721000.5,0.584732667,0.87936,0.580943662
3,137726000.1,0.584715914,0.89168,0.580943662
3,137726000.2,0.584721896,0.90816,0.580943662
3,137726001.1,0.584726365,0.92048,0.580943662
3,137726001.2,0.584732347,0.93696,0.580943662
3,137726002.2,0.584736526,0.94848,0.580943662
3,137726002.3,0.584742218,0.96416,0.580943662
3,137741000.3,0.584687841,0.83104,0.580943662
3,137741000.4,0.584698643,0.83376,0.580943662
3,137751000.3,0.584666593,0.8312,0.580943662
3,137751000.5,0.584678498,0.864,0.580943662
3,137766000.1,0.584619136,0.28672,0.580943662
3,137766000.2,0.584624943,0.30272,0.580943662
3,137766001.1,0.584629584,0.31552,0.580943662
3,137766001.2,0.584635739,0.33248,0.580943662
3,137766002.2,0.584639975,0.34416,0.580943662
3,137766002.3,0.584645723,0.36,0.580943662
3,137781000.3,0.584591372,0.22752,0.580943662
3,137781000.4,0.584602171,0.25728,0.580943662
3,137791000.2,0.584567467,0.27856,0.580943662
3,137791000.3,0.584576698,0.2784,0.580943662
3,137806001.4,0.584565484,0.33168,0.580943662
3,137806002.2,0.584619412,0.48032,0.580943662
3,137806002.8,0.584649074,0.56208,0.580943662
3,137806003.6,0.584680245,0.648,0.580943662
3,137811000.2,0.58466787,0.67232,0.580943662
3,137811000.4,0.584678203,0.7008,0.580943662
3,137811001.6,0.584706004,0.77744,0.580943662
3,137811002,0.584735317,0.85824,0.580943662
3,137811002.6,0.584739669,0.87024,0.580943662
3,137811003,0.58474553,0.8864,0.580943662
3,137811003.6,0.584749707,0.89792,0.580943662
3,137811004.1,0.584755394,0.9136,0.580943662
3,137811004.6,0.584760152,0.92672,0.580943662
